station,R_st,R_raw,R_v1,R_v2,PBIAS_R_raw,PBIAS_R_v1,PBIAS_R_v2
Акбулак_35127_calib.csv,2381.4033333333336,1986.0481482607656,2858.543412088533,8983.857305305108,-16.60177339716643,20.036088472561666,277.25055556758997
Аксаково_28719_calib.csv,6088.0233333333335,2751.896762037125,4123.919013148051,12155.797511251221,-54.798189636201705,-32.2617738573924,99.66739359712082
Александров_Гай_34391_calib.csv,3626.33,2376.9598912425586,2376.9598912425586,8906.685125897986,-34.45274171841618,-34.45274171841618,145.61154461667817
Амдерма_23022_calib.csv,3735.98,2750.948928070017,3214.3416104448997,7614.932234171851,-26.366069195498454,-13.962558406498436,103.82690041627232
Анапа_МГ_37001_calib.csv,28095.646666666667,12059.299837881745,25365.319618466547,79634.27641888846,-57.077692565840884,-9.717971900036188,183.4399128223962
Армавир_37031_calib.csv,20677.480000000003,9160.679874570098,12043.96458130514,25352.40129137753,-55.69730994990639,-41.75322824007018,22.608757408434325
Архангельск_22550_calib.csv,10666.550000000001,5744.483929564264,6876.919522421211,18201.434117764067,-46.14487411989572,-35.52817431670774,70.64031123244222
Астрахань_34880_calib.csv,3293.1233333333334,1072.7897001328074,1484.0413746884205,3345.773588282593,-67.42333670670881,-54.93514136968995,1.598793899284866
Ахты_37663_calib.csv,8872.07,5521.533512693157,6378.569376137988,16117.977718540207,-37.76499156687045,-28.105060305678514,81.67099356227135
Бабаево_27008_calib.csv,10678.723333333333,7918.463010195912,8840.773113314617,29363.025361160988,-25.84822395876993,-17.211329132215706,174.9675634867806
Балашов_34152_calib.csv,11536.766666666666,4996.768454097635,6364.25980044474,19896.219810620685,-56.68831139200496,-44.834978600780055,72.45923737113534
Балтийск_26701_calib.csv,4391.013333333333,8027.560815277091,8766.567098843969,15832.388947828656,82.8179558084639,99.64792710362913,260.5634450626884
Баренцбург_20107_calib.csv,5343.453333333333,3098.4120349747554,5103.677979281201,17476.56866172291,-42.014801258834694,-4.4872732874146,227.06505646266672
Безенчук_27995_calib.csv,7094.816666666667,3243.8798269187546,3243.8798269187546,10480.5686766617,-54.2781726530107,-54.2781726530107,47.72148695402089
