key,value
beta,"[2.5334036827439332, 0.7523739059456215, -3.7108110725233048, -0.23749019471220428, 1.0777139178766868, 0.168418469602389, 1.2872712952648526]"
templates,"{'DJF': [0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666], 'MAM': [0.1803646902464454, 0.06459566996058505, 0.05857031073252842, 0.23486000239852942, 0.3760001331323124, 0.08560919352959936], 'JJA': [0.20401719782279462, 0.28005226738051253, 0.15221117629466152, 0.12311250148655922, 0.104725824730679, 0.13588103228479306], 'SON': [0.0, 0.028969359331476322, 0.5600146447146922, 0.07768266262049811, 0.0, 0.3333333333333333]}"
gamma_min,0.7
gamma_max,3.5
n_samples,28
