site,year,product,ground_annual_total_mm,ground_annual_r,annual_total_pbias_pct,annual_r_pbias_pct,p99_bias_pct,wet_3h_csi,hit,miss,false_alarm
aws310,2023,raw,270.09000000000003,3118.8944235407143,69.31633473853904,-94.79461510976803,-94.45144611253686,0.04961832061068702,13,4,245
aws310,2023,v5,270.09000000000003,3118.8944235407143,75.83394521142074,-94.25034546419258,-94.17938776799133,0.05179282868525897,13,4,234
aws310,2023,v6,270.09000000000003,3118.8944235407143,53.01297707639275,-88.64894781161105,-91.12905579538274,0.07272727272727272,12,5,148
aws310,2024,raw,0.0,0.0,,,,0.0,0,0,259
aws310,2024,v5,0.0,0.0,,,,0.0,0,0,263
aws310,2024,v6,0.0,0.0,,,,0.0,0,0,237
biomet,2023,raw,0.1,0.0,480830.9871853329,,2675.499873161323,0.0,0,0,245
biomet,2023,v5,0.1,0.0,501800.6385970861,,2807.9350280761764,0.0,0,0,242
biomet,2023,v6,0.1,0.0,464278.2954112823,,4168.93241882324,0.0,0,0,189
biomet,2024,raw,322.8,406.43769747957356,64.01641467289568,-7.021603356522451,-44.909443973611175,0.14285714285714285,51,56,250
biomet,2024,v5,322.8,406.43769747957356,92.27586711639748,45.14261053920842,-37.88922132251561,0.14206128133704735,51,56,252
biomet,2024,v6,322.8,406.43769747957356,63.18169560545678,162.1031451996087,-43.96143039838263,0.14506172839506173,47,60,217
