method,n_station_years,annual_total_pbias_median,annual_total_pbias_mean,daily_kge_median,proxy_r_pbias_median,proxy_r_pbias_mean,wet_csi_median,p99_sim_mmh_median,p99_obs_mmh_median
raw,4848,0.3479822064190548,13.403053930820459,0.5358482219880236,-45.91781080914562,-31.47629096745151,0.11656482301974105,2.8180999275048624,5.089499999999998
v1,4848,1.39550119880403,9.843679312106369,0.5301244973317603,-36.34727420717646,-22.5485315133632,0.11634988560683951,3.1262311075987412,5.089499999999998
v6,4848,0.7715244671584671,5.017828135089746,0.5356184284773933,-32.66805861938124,-24.154734151480746,0.11740466308490141,3.3341399741928095,5.089499999999998
